,i(1to4),j(1toN),k(1toM),run_number,ART Link Max,ART Link Mid,Base Infectivity,Central: Infmrl Condoms Late,Central: LOW Risk,Central: Trns Condoms Late,Copperbelt: Infmrl Condoms Late,Copperbelt: LOW Risk,Copperbelt: Trns Condoms Late,Eastern: Infmrl Condoms Late,Eastern: LOW Risk,Eastern: Trns Condoms Late,Infmrl Condoms Late,Infmrl Form Rate,Infrml Condom Mid,Infrml Condom Rate,Luapula: Infmrl Condoms Late,Luapula: LOW Risk,Luapula: Trns Condoms Late,Lusaka: Infmrl Condoms Late,Lusaka: LOW Risk,Lusaka: Trns Condoms Late,Male To Female Old,Male To Female Young,Max Infmrl F LOW,Max Infmrl F MED,Max Infmrl M LOW,Max Infmrl M MED,Max Mrtl F ME,Max Mrtl M ME,Max Trns F LOW,Max Trns F MED,Max Trns M LOW,Max Trns M MED,Mrtl Condom Max,Mrtl Condom Mid,Mrtl Condom Rate,Mrtl Form Rate,Muchinga: Infmrl Condoms Late,Muchinga: LOW Risk,Muchinga: Trns Condoms Late,Northern: Infmrl Condoms Late,Northern: LOW Risk,Northern: Trns Condoms Late,Northwestern: Infmrl Condoms Late,Northwestern: LOW Risk,Northwestern: Trns Condoms Late,Pr Ex Infmrl Fem LOW,Pr Ex Infmrl Fem MED,Pr Ex Infmrl Male LOW,Pr Ex Infmrl Male MED,Pr Ex Trns Fem LOW,Pr Ex Trns Fem MED,Pr Ex Trns Male LOW,Pr Ex Trns Male MED,PreART Link Max,PreART Link Mid,PreART Link Min,Risk Assortivity,Run_Number,Sexual Debut Age Female Weibull Heterogeneity,Sexual Debut Age Female Weibull Scale,Sexual Debut Age Male Weibull Heterogeneity,Sexual Debut Age Male Weibull Scale,Southern: Infmrl Condoms Late,Southern: LOW Risk,Southern: Trns Condoms Late,Trns Condom Late,Trns Condom Mid,Trns Condom Rate,Trns Form Rate,Western: Infmrl Condoms Late,Western: LOW Risk,Western: Trns Condoms Late
0,0.0,0.0,0.0,78.0,0.9003830817273151,1997.3062914885975,0.0006647534839656356,0.5166943380711501,0.26041989251767894,0.6767931140085515,0.23786138465209578,0.3384902336919198,0.43431290490841923,0.1797964440824296,0.12075933594990086,0.4929188167961847,0.4341748337471102,0.0003431123480989665,1997.5319426169726,0.29384145272241724,0.5279995135542104,0.24224697281704072,0.6622678190871609,0.5255726845491295,0.37343143819248314,0.19293666954201993,1.7035597245524956,2.022645572959375,1.2329529187737602,2.7343454938197262,1.2344411100612036,2.743424903163143,1.8425331218813084,1.8412975013054351,1.8193559583952572,2.151914363376788,1.8445384489261891,2.176071690069921,0.24146239423290772,2000.5965522817858,1.1198592572884036,0.00015535212575791551,0.1926578905059812,0.09725151290459218,0.4728195752498828,0.47639384572174753,0.45275627546088826,0.5964060742818855,0.4804062778102741,0.2809839661134855,0.6626733499473992,0.3083869248512675,0.4002586227937863,0.25507754251065046,0.417592086796916,0.06415843046434846,0.34444688895502823,0.17901205560327255,0.3080566177403098,0.9690230836651269,2006.719573477246,0.8266344147465369,0.14963934910393775,6123.911248670618,0.23193438909345387,18.59640435292979,0.17347996524298204,16.492954799177927,0.53348089741069,0.36801050404790286,0.7387211611122153,0.3057396654579569,2003.5519084985542,2.709416855657527,0.0013096134333400872,0.07766090617048688,0.2873553315171431,0.6308570715810522
1,1.0,0.0,0.0,78.0,0.8921992757301551,1997.1504470324487,0.0006580500000072615,0.5109258509146021,0.2541843687831107,0.6841797301890757,0.2274637568308729,0.3339836491140134,0.4255608231218022,0.17022366344202372,0.12594175794248497,0.5075333568077693,0.4425568467255191,0.00032670788209256845,1997.8250592256002,0.3331124358165667,0.5328183009140335,0.23337215625943725,0.6743760091513359,0.5311769694240748,0.38061672989117057,0.17644587331507391,1.75335329232661,2.085423618468509,1.2191347811184337,2.7081995580925144,1.220622972405877,2.7172789674359312,1.8292922840041395,1.8280566634282662,1.8333507883266558,2.187620860900809,1.8305436189947906,2.2117781875939424,0.24544707714034825,2000.356965053148,1.151995875005513,0.0001519408680168465,0.20615445597271062,0.09268500580114868,0.4846325342464714,0.487970646449053,0.4489901993867876,0.6075029411751104,0.4889739651770652,0.2911537907273362,0.654243188182347,0.30056573182244495,0.39297478623851134,0.2654711453435126,0.4109315014909864,0.06013899821935254,0.3301863754840573,0.17168553570294015,0.29640140583699126,0.9633395162018358,2006.5371941533144,0.8368985413817556,0.15940570477853744,4607.0,0.22589191718716606,18.661830907578317,0.1671342881528871,16.574246869940236,0.5271138067212577,0.37408332259427707,0.7309548093994096,0.29440210778614856,2003.6490198979127,2.6795319432585725,0.0013502689353498637,0.08542565052202807,0.2780598181678455,0.6407113115583469
2,2.0,0.0,0.0,78.0,0.9168185499273152,1997.6192725885974,0.0006512909339656355,0.5282791419211501,0.272942641967679,0.6619586353585514,0.21697991685209575,0.32943969809191975,0.4518896365584192,0.1605715098824296,0.11035152179990086,0.46356855999618474,0.4510083593471102,0.0003101673980989665,1996.9432790169726,0.3727090351224172,0.5183219837542103,0.2600701916670407,0.6865845945371609,0.5143176467491295,0.38786159859248315,0.22605499579201993,1.8035597245524957,2.1487221895093747,1.20520207007376,2.7868541548697263,1.2621919587612034,2.795933564213143,1.8691245843313085,1.8678889637554352,1.7912502600952571,2.2236234196267874,1.816432750626189,2.247780746319921,0.24946479913290773,2000.1153912817856,1.1843989541884037,0.00016220292575791555,0.2197629285059812,0.08808063540459218,0.49654344064988276,0.4996434364717476,0.46031965411088827,0.5741203305818855,0.4976126917102741,0.3014079386634855,0.6796035723473992,0.2926796892012675,0.38563055559378634,0.23420415806065042,0.404215689796916,0.07223062216434847,0.3158076206550282,0.19372584340327254,0.2846495544903098,0.9804373440151268,2007.085844327246,0.8472477732465369,0.16925303840393774,9170.311248670618,0.2197993439934539,18.46500875792979,0.16073599574298206,16.656212975677924,0.5462678716606901,0.3558145140479029,0.7543182594122153,0.3285087864079569,2003.3568804985541,2.6493992394575274,0.001227965333340087,0.062067035920486874,0.3060234321671431,0.6110668849810522
3,3.0,0.0,0.0,78.0,0.9004509379329951,1997.3075836763,0.0006378839660488875,0.5167421676080541,0.2604715944985424,0.6767318677195999,0.19618466120965006,0.32042652893610707,0.4343854729851853,0.14142594860161786,0.12071636578506907,0.4927976400193539,0.467772385303928,0.00027735846608617043,1997.5295122342277,0.45125100131071605,0.5279595584738566,0.24232055855183376,0.7108009746655108,0.52552621649902,0.40223218198985794,0.1930734033381279,1.9031468601007242,2.2742782805276436,1.1775657947631073,2.7345622834153027,1.2345556834505507,2.7436416927587195,1.8426429085769707,1.8414072880010974,1.8192399199580545,2.2950364146748305,1.788443090763392,2.319193741367964,0.2574341649477888,1999.6362168245105,1.2486721896226227,0.00015538041027577748,0.24675605943944004,0.07894762119770518,0.52016935864306,0.5227970379263585,0.4527875019626869,0.5963140643683353,0.5147480664438564,0.321747587891187,0.6627432488172946,0.27703730314362235,0.3710628824832364,0.2549913637263748,0.3908945191850568,0.06419175767435661,0.2872865937130864,0.1790728036026078,0.2613391306836727,0.9690702090885447,2006.721085679383,0.8677760265169743,0.1887857497531371,6136.4887513293825,0.20771440018087822,18.59586186722684,0.14804464156279218,16.818797117202546,0.5335336902818255,0.3679601511406513,0.7387855559866039,0.30583367106434023,2003.551103297271,2.5896294146596173,0.0013092763373596403,0.07759652462356928,0.28743240546854787,0.6307753649356416
4,0.0,0.0,1.0,78.0,0.9003969254056348,1997.3065551141672,0.0006647648235398597,0.5051476058189468,0.26043044049312775,0.7064495761518592,0.21704854044329175,0.32039678580401176,0.4343277098787378,0.19908455794192229,0.13113294648977564,0.46347210508968906,0.46782770598302137,0.0002772501977976369,1998.118671668567,0.29377502215729395,0.54734642172172,0.22448232711409505,0.7108808878437256,0.5142806588745088,0.40227960439510585,0.19296456527638603,1.6032310906084968,2.148307858951946,1.1774745960545312,2.682009394053476,1.1789627873419746,2.6910888033968927,1.816029048003125,1.8413198994292808,1.8193322848228661,2.2233877593270286,1.8445621224985802,2.1760112891677226,0.23343369071407008,2001.079294540157,1.2488842889739902,0.000155357896221542,0.21967385215057936,0.08811077402101974,0.47279959251759307,0.4763742624734038,0.4452177526404453,0.5963873028868061,0.4803917847604767,0.30134081855697314,0.6288271655596938,0.29273130850927737,0.41493476278795655,0.2550599607529389,0.40425964917794205,0.05611276672629935,0.2871924753561397,0.1937741979044313,0.3080763336285399,0.9804748551490934,2006.7198819890427,0.8678437690100034,0.12996120256322743,6126.4772468593965,0.23194461050356002,18.7273681374037,0.16077787675257194,16.81933363898688,0.5334916679440296,0.392392211303598,0.7387342986273111,0.2602206021041483,2003.356239570346,2.6495964777167393,0.0014728408607308707,0.10883551187439393,0.3060847818825789,0.6110018477103039
5,1.0,0.0,1.0,78.0,0.9168725624546755,1997.6203011507303,0.0006782602764746634,0.4935344883102573,0.27298379597309363,0.6915788415262922,0.19611603761845403,0.32946944122401506,0.45194739966486674,0.17981263734212516,0.1415661976951943,0.49289409492584957,0.45095303866801684,0.0003102756663875,1998.7087739826334,0.21471468467583946,0.5376452397063469,0.20661554770477947,0.6865046813589463,0.5255632043736407,0.38781417618723524,0.2261638338537618,1.7034754940447234,2.2746926110850723,1.2052932687823361,2.629372400031553,1.2067814600697795,2.6384518093749696,1.789372595105154,1.8679763523272515,1.7911578952304454,2.2952720749745894,1.872736512091001,2.104126973520162,0.24145565376662645,2000.5969575661393,1.1841868548370362,0.000162225439812151,0.24684513579484188,0.0789174825812776,0.4490177451753497,0.4530678489247022,0.43763588883312987,0.5740470920634146,0.4631433177936537,0.3218147079976993,0.6457987660050002,0.2769856838356125,0.40027094408906616,0.2341355610340863,0.3908505598040307,0.048020846312405746,0.31590173901197505,0.179024449101449,0.33154060454544265,0.9690326979545781,2007.087048017586,0.8471800307535078,0.14962282839384744,9180.322753140605,0.24410931407077208,18.859084867752934,0.14800276055320227,16.65567645389359,0.546309893998486,0.38016641388495614,0.7543695167715081,0.28304537156814874,2003.5517442254795,2.5894321764004053,0.0013909932099688568,0.09320352966966221,0.28737105575311206,0.6308404022063899
6,2.0,0.0,1.0,78.0,0.8921992757301551,1997.1504470324487,0.0006580500000072615,0.5109258509146021,0.2541843687831107,0.6841797301890757,0.2274637568308729,0.3339836491140134,0.4255608231218022,0.17022366344202372,0.12594175794248497,0.5075333568077693,0.4425568467255191,0.00032670788209256845,1997.8250592256002,0.3331124358165667,0.5328183009140335,0.23337215625943725,0.6743760091513359,0.5311769694240748,0.38061672989117057,0.17644587331507391,1.75335329232661,2.085423618468509,1.2191347811184337,2.7081995580925144,1.220622972405877,2.7172789674359312,1.8292922840041395,1.8280566634282662,1.8333507883266558,2.187620860900809,1.8305436189947906,2.2117781875939424,0.24544707714034825,2000.356965053148,1.151995875005513,0.0001519408680168465,0.20615445597271062,0.09268500580114868,0.4846325342464714,0.487970646449053,0.4489901993867876,0.6075029411751104,0.4889739651770652,0.2911537907273362,0.654243188182347,0.30056573182244495,0.39297478623851134,0.2654711453435126,0.4109315014909864,0.06013899821935254,0.3301863754840573,0.17168553570294015,0.29640140583699126,0.9633395162018358,2006.5371941533144,0.8368985413817556,0.15940570477853744,4607.0,0.22589191718716606,18.661830907578317,0.1671342881528871,16.574246869940236,0.5271138067212577,0.37408332259427707,0.7309548093994096,0.29440210778614856,2003.6490198979127,2.6795319432585725,0.0013502689353498637,0.08542565052202807,0.2780598181678455,0.6407113115583469
7,3.0,0.0,1.0,78.0,0.9004370942546756,1997.3073200507304,0.0006647977264746634,0.5051192921602573,0.2604610465230936,0.6767443628762922,0.216997505418454,0.3385199768240151,0.43437066801486673,0.16058770314212517,0.13115838354519432,0.5222443517258496,0.4341195130680169,0.00034322061638750005,1998.1201103826334,0.29358226707583945,0.5279677099063469,0.22443876655477946,0.6621879059089462,0.5368182421736407,0.37338401578723523,0.1930455076037618,1.8034754940447233,2.1486159945350725,1.233044117482336,2.681881061081553,1.2345323087697795,2.6909604704249697,1.815964057555154,1.8413848898772516,1.8192635935304455,2.2235630187245894,1.8446308137910008,2.175836029770162,0.24945805866662646,2000.1157965661391,1.1196471579370362,0.00015537463981215102,0.2197400977948419,0.0880883600812776,0.4727416105753497,0.4763174396747022,0.4451992674831299,0.5963328357634147,0.4803497316936537,0.30139073544769934,0.6627289884050002,0.29269291948561255,0.3856428768890662,0.2550089454840863,0.40422695680403076,0.05609303801240574,0.344541007311975,0.164310661301449,0.3081335412954426,0.9576184376045782,2006.720777167586,0.8265666722535077,0.16923651769384745,6133.922753140603,0.23197426897077206,18.727689272752933,0.16074673005320228,16.492418277393593,0.533522919748486,0.36797042388495615,0.7387724184715081,0.30581449251814874,2003.7467722254794,2.6494497926004055,0.0013093451099688569,0.0776096594196622,0.26870295510311204,0.6506305888063899
8,0.0,0.0,2.0,78.0,0.9191358969313631,1997.6634018951424,0.000680114209273434,0.5151087483365374,0.27470830848640954,0.689535979919695,0.23500337847296443,0.3191504331594325,0.43190721158524037,0.1771651644586383,0.14299946167684663,0.5556364433739176,0.4149678363578049,0.0003807024277814303,1998.0376065839075,0.30463590644527055,0.5169574838558373,0.20416110556672384,0.6831560091113339,0.5271131398412023,0.38582699339815885,0.1884038281741833,1.589460053184156,2.292054669133515,1.2646165459423853,2.7271587347673374,1.2106030398298286,2.8033371128611084,1.8728738931487938,1.7844750542836119,1.8434988455991803,2.3051471559474184,1.820395561722266,2.2376700050473333,0.24833648634044383,2000.530696704758,1.1752990690233813,0.00014946726604401773,0.16173113122371766,0.09599631260861219,0.4457507227926156,0.4963653205815137,0.4613860656448814,0.6440277683920257,0.4951866438960978,0.2576802805535756,0.6819906780677283,0.3263088291089682,0.3876930649965262,0.2996812112372749,0.43285451181484047,0.05722439126627085,0.3198456633676253,0.14757063227697298,0.25803881168844334,0.9592181965136035,2006.404945613414,0.8443413574400592,0.16648757266943057,9599.843637235714,0.23027348890137844,18.709273600842316,0.1462477837440107,16.306677756309483,0.5061568204346212,0.39407172565076687,0.705392219783307,0.2861809157353666,2003.5786016043473,2.7012023604123065,0.0013797494195615938,0.09105609196163161,0.30865557300950397,0.6335657162094228
9,1.0,0.0,2.0,78.0,0.8981335909289472,1997.263454369755,0.0006629108907410891,0.5299125611926667,0.2587059279798119,0.7084924377584565,0.2616870707887814,0.3307157938685943,0.4543678979583642,0.20173203082540914,0.1296996825081233,0.518130783841621,0.4364788058932333,0.00033860323640370654,1998.7898390672926,0.20385380038786283,0.5293240583722297,0.22693676925215067,0.714229560091338,0.5127307234069471,0.4042667871841822,0.2307245709559645,1.717246531469064,2.130945800903503,1.229154713694482,2.7942577035176916,1.1751412075819254,2.736238144110754,1.8388935997594853,1.8184553476729204,1.8794141276541314,2.2135126783542,1.784480279667315,2.3293044826405516,0.2585624777402527,2001.1455554015383,1.257772074787645,0.00014071286998967528,0.19636770472170362,0.10771545399368518,0.4760666149003273,0.5260751538165924,0.4517210904286938,0.6155496013581951,0.5171741142580326,0.28377935580109687,0.6603561430969657,0.3062371058359217,0.3690003730804965,0.2730078483497504,0.4157612851671324,0.046909221772434236,0.28324855100048935,0.16637286352890734,0.28794987348553924,0.944632315190068,2005.9369009932147,0.8706824423234518,0.1915512154876443,5706.956362764286,0.2457804356729537,18.87717940431432,0.1625328535617635,16.51529963057099,0.5224968445078942,0.3784868995377873,0.7253232024155122,0.2570850579369305,2003.3293821914779,2.7778967585048386,0.0014840846511381335,0.11098294958242452,0.284800264626187,0.6082765337072711
